Title,Score,ProgressChapter,ProgressVolumes,Type
'Tokyo Ghoul,0,144,14,MANGA
Yakusoku no Neverland,0,181,20,MANGA
Kimetsu no Yaiba,0,207,23,MANGA
Oyasumi Punpun,0,147,13,MANGA
Naruto,0,700,72,MANGA
Koe no Katachi,0,64,7,MANGA
Tokyo Ghoul:re,0,181,16,MANGA
Bleach,0,705,74,MANGA
Death Note,0,108,12,MANGA
Hagane no Renkinjutsushi,0,116,27,MANGA
Fairy Tail,0,545,63,MANGA
Shokugeki no Souma,0,324,36,MANGA
Nanatsu no Taizai,0,364,41,MANGA
Nisekoi,0,240,25,MANGA
JoJo no Kimyou na Bouken: Steel Ball Run,0,95,24,MANGA
JoJo no Kimyou na Bouken: Stone Ocean,0,158,17,MANGA
Deadman Wonderland,0,58,13,MANGA
ReLife,0,222,15,MANGA
Akame ga Kill!,0,80,15,MANGA
20th Century Boys,0,249,22,MANGA
5-Toubun no Hanayome,0,122,14,MANGA
Ansatsu Kyoushitsu,0,187,21,MANGA
Uzumaki,0,20,3,MANGA
Gantz,0,383,37,MANGA
Monster,0,162,18,MANGA
Soul Eater,0,117,25,MANGA
Magi: The Labyrinth of Magic,0,369,37,MANGA
Tomo-chan wa Onnanoko!,0,953,8,MANGA
Bakuman.,0,176,20,MANGA
Onani Master Kurosawa,0,31,4,MANGA
Pandora Hearts,0,107,24,MANGA
Dorohedoro,0,191,23,MANGA
Kangoku Gakuen,0,278,28,MANGA
Aku no Hana,0,58,11,MANGA
JoJo no Kimyou na Bouken: Ougon no Kaze,0,155,17,MANGA
Yamada-kun to 7-nin no Majo,0,246,28,MANGA
Claymore,0,159,27,MANGA
JoJo no Kimyou na Bouken: Phantom Blood,0,44,5,MANGA
Ao Haru Ride,0,53,13,MANGA
orange,0,31,6,MANGA
Domestic na Kanojo,0,276,28,MANGA
Mob Psycho 100,0,101,16,MANGA
The Breaker,0,72,10,MANGA
All You Need Is Kill,0,17,2,MANGA
Great Teacher Onizuka,0,201,25,MANGA
Kami nomi zo Shiru Sekai,0,271,26,MANGA
Dragon Ball,0,520,42,MANGA
Yagate Kimi ni Naru,0,50,8,MANGA
Blame!,0,66,10,MANGA
Solanin,0,29,2,MANGA
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,0,174,18,MANGA
Slam Dunk,0,276,31,MANGA
JoJo no Kimyou na Bouken: Sentou Chouryuu,0,69,7,MANGA
Katekyo Hitman Reborn!,0,411,42,MANGA
Citrus,0,50,10,MANGA
Watashi-tachi no Shiawase na Jikan,0,8,1,MANGA
Akira,0,120,6,MANGA
Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.,0,18,3,MANGA
Utsuro no Hako to Zero no Maria,0,254,7,NOVEL
Kaichou wa Maid-sama!,0,85,18,MANGA
JoJo no Kimyou na Bouken: Stardust Crusaders,0,152,16,MANGA
Pluto,0,65,8,MANGA
Beelzebub,0,250,28,MANGA
I Am a Hero,0,264,22,MANGA
Masamune-kun no Revenge,0,61,10,MANGA
Hurejasik,0,94,5,MANGA
Mirai Nikki,0,59,12,MANGA
Nozoki Ana,0,117,13,MANGA
Gintama,0,709,77,MANGA
Boku Dake ga Inai Machi,0,49,9,MANGA
Taiyou no Ie,0,53,13,MANGA
Tonari no Kaibutsu-kun,0,69,13,MANGA
Noblesse,0,544,0,MANGA
Liar Game,0,201,19,MANGA
Kiseijuu,0,64,10,MANGA
Fruits Basket,0,137,23,MANGA
Shin Seiki Evangelion,0,97,14,MANGA
Sankarea,0,59,11,MANGA
Last Game,0,56,11,MANGA
Girls of the Wild's,0,260,0,MANGA
Death Note: Tokubetsu Yomikiri,0,1,0,ONE_SHOT
Medaka Box,0,192,22,MANGA
Gunnm,0,53,9,MANGA
Kimi wa Midara na Boku no Joou,0,13,2,MANGA
Psyren,0,151,16,MANGA
Homunculus,0,166,15,MANGA
Yokohama Kaidashi Kikou,0,142,14,MANGA
Sun-Ken Rock,0,171,25,MANGA
Hoshi no Samidare,0,65,10,MANGA
Btooom!,0,125,27,MANGA
Kimi ni Todoke,0,125,30,MANGA
The Breaker: New Waves,0,204,20,MANGA
Doubt,0,21,4,MANGA
Rurouni Kenshin: Meiji Kenkaku Romantan,0,259,28,MANGA
Ouran Koukou Host Club,0,87,18,MANGA
Koe no Katachi,0,1,0,ONE_SHOT
Sabishisugite Lesbian Fuzoku Ni Ikimashita Report,0,6,1,MANGA
Hirunaka no Ryuusei,0,78,12,MANGA
Rosario to Vampire,0,40,10,MANGA
Umibe no Onnanoko,0,20,2,MANGA
Dengeki Daisy,0,80,16,MANGA
Minamoto-kun Monogatari,0,358,16,MANGA
To LOVE-Ru,0,162,18,MANGA
Elfen Lied,0,113,12,MANGA
Shigatsu wa Kimi no Uso,0,44,11,MANGA
Kuroko no Basket,0,276,30,MANGA
Yuragi-sou no Yuuna-san,0,209,24,MANGA
Mahou Sensei Negima!,0,355,38,MANGA
Fire Punch,0,83,8,MANGA
Blood Lad,0,85,17,MANGA
Annarasumanara,0,28,3,MANGA
Velvet Kiss,0,32,4,MANGA
Kimi no Iru Machi,0,261,27,MANGA
Gakkou Gurashi!,0,78,12,MANGA
Yahari Ore no Seishun Love Come wa Machigatteiru.,0,128,17,NOVEL
Shoujo Shuumatsu Ryokou,0,47,6,MANGA
Air Gear,0,358,37,MANGA
Boku Girl,0,107,11,MANGA
Mugen no Juunin,0,206,30,MANGA
Mushishi,0,50,10,MANGA
Chikan Otoko,0,23,0,MANGA
21st Century Boys,0,16,2,MANGA
Battle Royale,0,119,15,MANGA
Inuyashiki,0,85,10,MANGA
Holyland,0,182,18,MANGA
Hibi Chouchou,0,83,12,MANGA
Gal Gohan,0,69,10,MANGA
Kami-sama ga Uso wo Tsuku.,0,5,1,MANGA
Kokou no Hito,0,170,17,MANGA
Spirit Circle,0,45,6,MANGA
Kuzu no Honkai,0,53,8,MANGA
Omoide Emanon,0,9,1,MANGA
Shimanami Tasogare,0,23,4,MANGA
Shaman King,0,285,32,MANGA
Happiness,0,50,10,MANGA
Boku wa Mari no Naka,0,80,9,MANGA
Eyeshield 21,0,333,37,MANGA
Eden no Ori,0,185,21,MANGA
xxxHolic,0,213,19,MANGA
Yuu☆Yuu☆Hakusho,0,175,19,MANGA
Tsubasa: RESERVoir CHRoNiCLE,0,233,28,MANGA
Shijou Saikyou no Deshi Kenichi,0,584,61,MANGA
Cardcaptor Sakura,0,50,12,MANGA
Hellsing,0,92,10,MANGA
Gyo: Ugomeku Bukimi,0,21,2,MANGA
Kishuku Gakkou no Juliet,0,120,16,MANGA
Monogatari Series: First Season,0,107,6,NOVEL
Bonnouji,0,36,3,MANGA
To LOVE-Ru Darkness,0,100,18,MANGA
Eden: It's an Endless World!,0,127,18,MANGA
Devilman,0,53,5,MANGA
Kaze no Tani no Nausicaä,0,59,7,MANGA
Ookami Shounen wa Kyou mo Uso wo Kasaneru,0,34,5,MANGA
Tomie,0,20,3,MANGA
NHK ni Youkoso!,0,40,8,MANGA
Jitsu wa Watashi wa,0,196,22,MANGA
Kamisama Hajimemashita,0,154,25,MANGA
Fairy Tail Zerø,0,13,1,MANGA
